						
	연번	경로당 명	주  소	회원수	"경로당
개설일"	"비고
(휴지/휴지시작연도)"
	308	옥향	서울시 성동구 독서당로 218(옥수동, 삼성아파트)	40	1999.11	
	309	옥수삼성(아)	서울시 성동구 독서당로 218(옥수동, 삼성아파트)	19	1999.11	
	310	한림정	서울시 성동구 독서당로 218(옥수동, 삼성아파트)	18	1905.06	
	311	옥수풍림(아)	서울시 성동구 뚝섬로 51(옥수동, 풍림아파트)	30	2013.02	
	312	옥수리버젠 제1	서울시 성동구 매봉길 15(옥수동, 옥수리버젠아파트)	39	2013.11	
	313	옥수리버젠 제2	서울시 성동구 매봉길 17(옥수동, 옥수리버젠아파트)	35	2013.07	
	314	옥수파크	서울시 성동구 매봉길 50(옥수동, 옥수파크힐스아파트 107동 옆)	21	2018.01	
	315	옥수힐스	서울시 성동구 매봉길 50(옥수동, 옥수파크힐스아파트 118동)	42	2018.01	
	316	성수1가1동	서울시 성동구 성덕정9길 8-1(성수1가1동)	67	1989.06	
	317	서울숲실버문화센터	서울시 성동구 성동구 뚝섬로1길 2, 2층(성수1가1동)	50	1989.06	
	318	동아(아)	서울시 성동구 왕십리로 80(성수1가1동, 동아아파트)	41	1989.06	
	319	구립새촌	서울시 성동구 성수일로3길 3-10(성수1가1동)	15	1989.06	
	320	새촌할머니	서울시 성동구 성수일로3길 5-16(성수1가1동)	35	2011.10	
	321	한진타운(아)	서울시 성동구 뚝섬로 310(성수1가1동, 한진타운아파트)	35	1994.07	
	322	성수현대그린(아)	서울시 성동구 뚝섬로3길 8(성수1가1동, 성수현대그린아파트)	24	1998.05	
	323	대림로즈빌(아)	서울시 성동구 뚝섬로 311(성수1가1동, 대림로즈빌아파트)	24	2001.04	
	324	강변건영(아)	서울시 성동구 왕십리로 36(성수1가1동, 강변건영아파트)	42	2002.11	
	325	성수금호3차(아)	서울시 성동구 뚝섬로5길 17(성수1가1동, 성수금호3차아파트)	27	2004.11	
	326	강변동양(아)	서울시 성동구 둘레길 21(성수1가1동, 강변동양아파트)	26	2006.06	
	327	한양현대(아)	서울시 성동구 상원1길 17(성수1가2동, 한양현대아파트)	58	1999.05	
	328	성원	서울시 성동구 상원10길 21(성수1가2동)	40	1989.06	
	329	상원	서울시 성동구 왕십리로16길 6(성수1가2동)	15	1989.06	
	330	서울숲	서울시 성동구 왕십리로 101(성수1가2동,5F,6F)	45	1989.06	
	331	성수쌍용(아)	서울시 성동구 상원길 63(성수1가2동, 성수쌍용아파트)	21	1997.12	
	332	동아그린(아)	서울시 성동구 상원길 76(성수1가2동, 동아그린아파트)	26	1999.10	
	333	성수대우2차(아)	서울시 성동구 상원6길 16(성수1가2동, 성수대우2차아파트)	36	2000.04	
